Suburb,Rooms,Type,Price,Method,SellerG,Date,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Propertycount,price_airbnb
Abbotsford,2,h,1100000.0,PI,Biggin,18/06/2016,3067.0,2.0,1.0,124.0,135.0,2013.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1315000.0,S,Marshall,19/11/2016,3067.0,1.0,0.0,147.0,85.0,1900.0,Yarra,4019.0,130.62403100775194
Abbotsford,1,u,426000.0,SP,Greg,22/08/2016,3067.0,1.0,1.0,0.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1447500.0,PI,Nelson,22/08/2016,3067.0,3.0,1.0,166.0,174.0,2012.0,Yarra,4019.0,130.62403100775194
Abbotsford,1,u,457000.0,S,Jellis,22/08/2016,3067.0,1.0,1.0,0.0,50.0,,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1135000.0,S,Nelson,22/08/2016,3067.0,2.0,2.0,98.0,128.0,1920.0,Yarra,4019.0,130.62403100775194
Abbotsford,4,h,1542000.0,S,Collins,24/09/2016,3067.0,3.0,1.0,0.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1290000.0,S,Biggin,25/02/2017,3067.0,2.0,2.0,147.0,18.0,,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1290000.0,S,Biggin,25/02/2017,3067.0,1.0,1.0,168.0,124.0,1950.0,Yarra,4019.0,130.62403100775194
Abbotsford,1,u,470000.0,S,Nelson,26/07/2016,3067.0,1.0,1.0,0.0,50.0,2013.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1180000.0,S,Jellis,27/11/2016,3067.0,1.0,0.0,162.0,91.0,1900.0,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1195000.0,SP,Jellis,27/11/2016,3067.0,2.0,1.0,120.0,128.0,1998.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1012500.0,S,Nelson,28/05/2016,3067.0,1.0,0.0,182.0,82.0,1900.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1030000.0,S,Biggin,30/07/2016,3067.0,1.0,1.0,172.0,81.0,1930.0,Yarra,4019.0,130.62403100775194
Airport West,3,t,840000.0,PI,Nelson,3/09/2016,3042.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,730000.0,VB,Nelson,3/12/2016,3042.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,770000.0,SP,Nelson,4/03/2017,3042.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,3464.0,81.57142857142857
Airport West,2,h,603000.0,S,Nelson,4/03/2017,3042.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,t,700000.0,S,Brad,4/03/2017,3042.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,600000.0,S,Maddison,4/03/2017,3042.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,3464.0,81.57142857142857
Airport West,2,u,500000.0,VB,Barry,4/03/2017,3042.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,720000.0,S,Barry,6/08/2016,3042.0,1.0,1.0,620.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,4,h,785000.0,S,Considine,6/08/2016,3042.0,1.0,2.0,597.0,127.0,,Moonee Valley,3464.0,81.57142857142857
Airport West,6,h,725000.0,SP,Barry,7/05/2016,3042.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,3464.0,81.57142857142857
Airport West,2,t,450000.0,S,Barry,7/05/2016,3042.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,3464.0,81.57142857142857
Airport West,2,u,515000.0,S,Barry,7/11/2016,3042.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,3464.0,81.57142857142857
Airport West,2,u,530000.0,S,Nelson,10/09/2016,3042.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,895000.0,PI,Rendina,10/09/2016,3042.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,805000.0,S,Nelson,10/12/2016,3042.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,u,752000.0,S,Nelson,11/02/2017,3042.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,3464.0,81.57142857142857
Airport West,2,u,440000.0,S,Barry,13/08/2016,3042.0,1.0,1.0,192.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,5,h,755000.0,PI,Propertyau,14/05/2016,3042.0,2.0,2.0,596.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,3,t,700000.0,PI,Brad,15/10/2016,3042.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,830000.0,S,Barry,16/04/2016,3042.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,3464.0,81.57142857142857
Airport West,2,u,462500.0,S,Barry,16/07/2016,3042.0,1.0,1.0,164.0,,2003.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,670000.0,SP,Barry,16/07/2016,3042.0,2.0,2.0,657.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,2,h,675000.0,S,Barry,16/07/2016,3042.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,1042000.0,S,Nelson,16/07/2016,3042.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,910000.0,S,McDonald,17/09/2016,3042.0,1.0,1.0,775.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,4,h,773000.0,S,Brad,17/09/2016,3042.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,810000.0,PI,Barry,18/03/2017,3042.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,715000.0,S,Rendina,18/03/2017,3042.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,790000.0,S,Nelson,18/03/2017,3042.0,1.0,3.0,614.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,3,t,540000.0,SP,Nelson,18/06/2016,3042.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,t,825000.0,SP,Barry,19/11/2016,3042.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,685000.0,S,Barry,22/05/2016,3042.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,805000.0,S,Barry,22/08/2016,3042.0,1.0,1.0,623.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,2,u,510000.0,S,Nelson,22/08/2016,3042.0,1.0,1.0,141.0,76.0,,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,612000.0,S,Nelson,22/08/2016,3042.0,2.0,1.0,212.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,662000.0,S,Brad,23/04/2016,3042.0,1.0,2.0,612.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,4,h,978000.0,S,Nelson,24/09/2016,3042.0,3.0,2.0,532.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,3,h,720000.0,PI,Nelson,25/02/2017,3042.0,1.0,1.0,585.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,4,h,765000.0,S,Prof.,27/11/2016,3042.0,1.0,2.0,509.0,,,Moonee Valley,3464.0,81.57142857142857
Airport West,4,h,900000.0,S,Harcourts,27/11/2016,3042.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,3464.0,81.57142857142857
Albert Park,2,h,1275000.0,S,hockingstuart,3/09/2016,3206.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1455000.0,S,Thomson,3/09/2016,3206.0,1.0,0.0,159.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,2850000.0,PI,Buxton,4/03/2017,3206.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1850000.0,S,Greg,4/03/2017,3206.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1436000.0,S,RT,4/03/2017,3206.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1110000.0,S,Marshall,6/08/2016,3206.0,1.0,0.0,147.0,,1900.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1550000.0,S,Sotheby's,7/05/2016,3206.0,1.0,1.0,167.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,4,h,2300000.0,S,Marshall,7/05/2016,3206.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,t,1550000.0,VB,Marshall,7/11/2016,3206.0,2.0,2.0,718.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1800000.0,VB,Greg,7/11/2016,3206.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,2120000.0,S,Greg,10/09/2016,3206.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1800000.0,VB,Cayzer,10/09/2016,3206.0,1.0,1.0,253.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1800000.0,S,Marshall,10/09/2016,3206.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1810000.0,PI,Greg,10/12/2016,3206.0,1.0,0.0,240.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,2615000.0,S,Cayzer,10/12/2016,3206.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,3280.0,229.41803278688525
Albert Park,5,h,2100000.0,S,Greg,10/12/2016,3206.0,2.0,1.0,237.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1300000.0,S,hockingstuart,10/12/2016,3206.0,1.0,0.0,129.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1370000.0,S,Greg,12/06/2016,3206.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1000000.0,S,Cayzer,12/11/2016,3206.0,1.0,0.0,288.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,2575000.0,S,Greg,15/10/2016,3206.0,2.0,1.0,228.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1322500.0,S,Greg,15/10/2016,3206.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1562500.0,S,Greg,15/10/2016,3206.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,2000000.0,VB,RT,16/04/2016,3206.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1900000.0,S,Greg,18/03/2017,3206.0,1.0,0.0,209.0,,1900.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,3010000.0,S,Greg,18/03/2017,3206.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,3280.0,229.41803278688525
Albert Park,4,h,2800000.0,VB,Cayzer,18/06/2016,3206.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,u,647000.0,S,Greg,22/05/2016,3206.0,1.0,1.0,0.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,2100000.0,SP,Marshall,23/04/2016,3206.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,2000000.0,PI,Marshall,24/09/2016,3206.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,3280.0,229.41803278688525
Albert Park,1,u,442500.0,S,Marshall,25/02/2017,3206.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,3280.0,229.41803278688525
Albert Park,4,h,4735000.0,S,Marshall,25/02/2017,3206.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1340000.0,S,Greg,25/02/2017,3206.0,1.0,0.0,136.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1801000.0,S,hockingstuart,25/02/2017,3206.0,1.0,1.0,202.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1532000.0,S,Chisholm,26/07/2016,3206.0,3.0,1.0,0.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,3755000.0,S,Greg,26/07/2016,3206.0,2.0,2.0,325.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,4,h,2140000.0,S,Greg,27/06/2016,3206.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,1750000.0,S,Marshall,27/11/2016,3206.0,1.0,1.0,162.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,2,h,980000.0,S,Greg,28/05/2016,3206.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,2030000.0,S,hockingstuart,28/08/2016,3206.0,2.0,0.0,152.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,1740000.0,PI,Marshall,28/08/2016,3206.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,3280.0,229.41803278688525
Albert Park,3,h,2800000.0,VB,Buxton,30/07/2016,3206.0,3.0,1.0,0.0,,,Port Phillip,3280.0,229.41803278688525
Albert Park,1,h,985000.0,S,Marshall,30/07/2016,3206.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,3280.0,229.41803278688525
Alphington,4,h,2000000.0,S,Brace,3/09/2016,3078.0,2.0,4.0,853.0,263.0,1930.0,Darebin,2211.0,111.20270270270271
Alphington,3,h,1110000.0,S,Jellis,3/09/2016,3078.0,2.0,2.0,208.0,,2013.0,Yarra,2211.0,111.20270270270271
Alphington,3,h,1492000.0,S,Jellis,4/03/2017,3078.0,2.0,2.0,411.0,,,Darebin,2211.0,111.20270270270271
Alphington,4,h,1717500.0,S,Collins,8/10/2016,3078.0,2.0,1.0,599.0,203.0,1925.0,Darebin,2211.0,111.20270270270271
Alphington,5,h,2840000.0,S,Nelson,12/06/2016,3078.0,4.0,4.0,809.0,165.0,1910.0,Darebin,2211.0,111.20270270270271
Alphington,2,u,525500.0,S,Miles,12/11/2016,3078.0,1.0,1.0,88.0,60.0,1960.0,Darebin,2211.0,111.20270270270271
Alphington,2,t,805000.0,S,Miles,12/11/2016,3078.0,2.0,3.0,155.0,140.0,2004.0,Darebin,2211.0,111.20270270270271
Alphington,2,u,465000.0,S,McGrath,12/11/2016,3078.0,1.0,1.0,0.0,,,Darebin,2211.0,111.20270270270271
Alphington,3,h,2000000.0,PI,hockingstuart,15/10/2016,3078.0,3.0,2.0,686.0,,,Darebin,2211.0,111.20270270270271
Alphington,3,h,1540000.0,S,Nelson,16/04/2016,3078.0,1.0,2.0,592.0,,,Darebin,2211.0,111.20270270270271
Alphington,2,u,820000.0,S,Nelson,18/03/2017,3078.0,1.0,1.0,183.0,,,Darebin,2211.0,111.20270270270271
Alphington,4,h,1830000.0,S,Nelson,19/11/2016,3078.0,2.0,2.0,606.0,112.0,1970.0,Darebin,2211.0,111.20270270270271
Alphington,4,h,2100000.0,S,Nelson,19/11/2016,3078.0,2.0,2.0,575.0,271.0,2008.0,Darebin,2211.0,111.20270270270271
Alphington,3,h,865000.0,SP,hockingstuart,22/05/2016,3078.0,1.0,1.0,180.0,131.0,2010.0,Darebin,2211.0,111.20270270270271
Alphington,2,u,390000.0,VB,Nelson,22/05/2016,3078.0,1.0,1.0,0.0,60.0,1960.0,Darebin,2211.0,111.20270270270271
Alphington,2,t,650000.0,SP,Brace,24/09/2016,3078.0,1.0,0.0,0.0,,,Yarra,2211.0,111.20270270270271
Alphington,2,u,512000.0,S,Love,25/02/2017,3078.0,1.0,1.0,0.0,61.0,1965.0,Darebin,2211.0,111.20270270270271
Alphington,3,h,1165000.0,S,Barry,27/06/2016,3078.0,1.0,2.0,979.0,,,Yarra,2211.0,111.20270270270271
Alphington,4,h,1900000.0,SP,McGrath,27/11/2016,3078.0,2.0,2.0,556.0,272.0,1930.0,Yarra,2211.0,111.20270270270271
Alphington,4,h,1950000.0,S,Jellis,30/07/2016,3078.0,2.0,3.0,589.0,210.0,1920.0,Darebin,2211.0,111.20270270270271
Altona,3,h,520000.0,VB,Greg,3/09/2016,3018.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,5301.0,85.62162162162163
Altona,5,h,1525000.0,S,Greg,3/12/2016,3018.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,5301.0,85.62162162162163
Altona,2,t,720000.0,S,hockingstuart,4/02/2016,3018.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,1120000.0,S,Barlow,4/03/2017,3018.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,5301.0,85.62162162162163
Altona,4,h,780000.0,PI,Sweeney,4/06/2016,3018.0,1.0,4.0,655.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,4,h,1780000.0,SP,Greg,4/06/2016,3018.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,u,630000.0,S,Barlow,6/08/2016,3018.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,406000.0,SP,hockingstuart,6/08/2016,3018.0,1.0,1.0,65.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,660000.0,VB,Greg,7/05/2016,3018.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,683500.0,S,Greg,7/11/2016,3018.0,1.0,1.0,530.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,580000.0,S,Barlow,8/10/2016,3018.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,1335000.0,S,hockingstuart,8/10/2016,3018.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,t,800000.0,SP,hockingstuart,8/10/2016,3018.0,2.0,2.0,280.0,,1997.0,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,510000.0,S,Village,10/09/2016,3018.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,5301.0,85.62162162162163
Altona,4,h,1070000.0,S,Barlow,10/09/2016,3018.0,2.0,2.0,695.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,425000.0,S,hockingstuart,10/09/2016,3018.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,u,605000.0,S,Jas,10/12/2016,3018.0,2.0,2.0,230.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,t,705000.0,S,hockingstuart,11/02/2017,3018.0,2.0,2.0,197.0,152.0,,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,391000.0,SP,Greg,11/02/2017,3018.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,440000.0,SP,hockingstuart,11/02/2017,3018.0,1.0,1.0,0.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,4,h,845000.0,S,hockingstuart,11/02/2017,3018.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,t,743000.0,SP,Gunn&Co,12/11/2016,3018.0,2.0,2.0,211.0,176.0,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,u,730000.0,SP,Barlow,13/08/2016,3018.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,635000.0,S,Sweeney,14/05/2016,3018.0,1.0,4.0,625.0,,1960.0,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,620000.0,SP,hockingstuart,14/05/2016,3018.0,1.0,1.0,168.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,447000.0,S,Burnham,15/10/2016,3018.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,u,730000.0,SP,Barlow,16/04/2016,3018.0,2.0,1.0,70.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,678000.0,S,hockingstuart,16/04/2016,3018.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay,5301.0,85.62162162162163
Altona,2,u,580000.0,PI,Biggin,16/07/2016,3018.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,712000.0,S,hockingstuart,17/09/2016,3018.0,1.0,2.0,363.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,840000.0,SP,Greg,18/03/2017,3018.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,980000.0,S,Barlow,19/11/2016,3018.0,1.0,2.0,724.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,t,605100.0,S,hockingstuart,22/05/2016,3018.0,2.0,0.0,265.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,880000.0,PI,Barlow,22/08/2016,3018.0,3.0,1.0,577.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,u,577000.0,S,Williams,23/04/2016,3018.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,5301.0,85.62162162162163
Altona,4,h,1030000.0,S,Barlow,25/02/2017,3018.0,1.0,0.0,797.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,u,605000.0,S,Barlow,25/02/2017,3018.0,1.0,2.0,181.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,753000.0,S,Barlow,27/06/2016,3018.0,2.0,2.0,529.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,2,h,857000.0,SP,hockingstuart,27/11/2016,3018.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,1500000.0,S,Barlow,28/05/2016,3018.0,1.0,1.0,929.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,u,730000.0,SP,Barlow,28/05/2016,3018.0,2.0,1.0,70.0,3.0,2014.0,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,900000.0,S,Sweeney,28/05/2016,3018.0,1.0,4.0,697.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,3,h,740000.0,S,Greg,28/08/2016,3018.0,1.0,2.0,604.0,,,Hobsons Bay,5301.0,85.62162162162163
Altona,4,h,931000.0,S,Sweeney,28/08/2016,3018.0,2.0,3.0,532.0,,1970.0,Hobsons Bay,5301.0,85.62162162162163
Altona,2,h,535600.0,SP,Compton,30/07/2016,3018.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay,5301.0,85.62162162162163
Altona North,5,h,1085000.0,S,FN,3/09/2016,3025.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay,5132.0,113.76470588235294
Altona North,3,h,781000.0,S,Jas,3/09/2016,3025.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay,5132.0,113.76470588235294
Altona North,3,h,750000.0,SP,Jas,4/03/2017,3025.0,1.0,3.0,554.0,,,Hobsons Bay,5132.0,113.76470588235294
Altona North,2,t,421000.0,S,hockingstuart,4/03/2017,3025.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay,5132.0,113.76470588235294
Altona North,3,h,1405000.0,S,Sweeney,4/03/2017,3025.0,1.0,3.0,655.0,,,Hobsons Bay,5132.0,113.76470588235294
